english,kabyle
"compilation","ammud"
"complement","asemmad"
"complementarity","tanemmadut"
"complementary","anemmadu"
"complete","amaddu, anguz, ughrid"
"complex","asemlal, isemlal"
"complexed","nbuttel"
"complication","aghennej"
"compliment","tinza, tinzi"
"component","tisgert"
"compose","uddis"
"composite","amdus"
"composition","tameddest, tasudest, tisudsin"
"compound","uddis"
"compromise","anmekni, inmekna"
"compromised","anmekni asurdi"
"computer","aselkim"
"concave","aghenja, ameghnaju, imeghnuja, ughnij"
"concentration","almes, asersigh"
"concept","tamidhrant, timidhranin"
"conceptualization","asmidhren"
"concert","abandu, abaraz, abarez, iburaz"
"conclusion","tagrayt, takyut, tarayt"
"conclusive","anegray"
"concrete","akmam"
"condemnation","taszirt, taz'irt"
"condemned","amuszir"
"condition","tafada, tawtilt"
"conditional","anewtal, awtilan"
"condolences","aaezzi, awajah, tswab"
"cone","akaswar"
"confederation","amqun"
"conference","arbaz, asarag, isurag, tinawt"
"confession","timelkit"
"confidence","laman, taflest"
"confirmation","asentem"
"conflict","amennugh, amlasay"
"conform","arawas"
"confutation","tararit"
"conjugation","asefti, taseftit, tiseftay"
"conjunction","tazghunt"
"connection","tuqqna, tuqqniwin"
"connector","amaqqen"
"conquering","amaslak"
"conquest","taslekt, tiselkin"
"conscience","tafrit, tifra"
"consequence","analkam"
"consignment","azzun"
"consistency","tanmeszla"
"consistent","adhfar"
"consonant","targalt, tirgalin"
"consonantal","areglan"
"consonnantal tension","tussda, tussdiwin"
"constant","aghlal, aghlan, imezgi"
"constitution","tamendawt"
"constitutional","amendaw"
"constrained","tuggda"
"construction","tas'ekkawt"
"consumer","amsider, imsidren"
"consumption","asuder"
"contact","anermis"
"contactor","anemas"
"contained","agbur"
"container","anagbas, anegbar"
"containing","anagbas"
"contemplation","assilem"
"contemporary","anemtuta, azi, aziten"
"content","agbur"
"contest","tamenyugart, timzizwar, timzizwert"
"contestation","aseghrebbet, tigwin"
"context","asatal"
"continent","amenzaw"
"continental","amenzawi"
"continuation to","sartu"
"continuous","amaghlal"
"contract","agatu, leâqed, leâqud"
"contraction","tasedrest"
"contractual","amgatu, imguta"
"contradiction","annerzi, taghennant"
"contrary","anemgal"
"contribution","tabzert, tumutt"
"control","anghad"
"control panel","tafelwit n welway"
"controversial","azernan, azernen, izernan"
"convalescent","amgur"
"convenient","talilt"
"convention","amesdugam, amsisi, aswir, imsisa"
"conversation","amsawal"
"convex","afensu, afnar', ifensa"
"convexity","tiffensa, tiffensur, tiffensut"
"convicted","amuzir, imuzar"
"conviction","tamedlit"
"convinced","amaluk, unendil"
"convoy","taghsert"
"cook","amenwal"
"cookie","agarguc"
"cooks","ibbwa, iggwa, iwwa"
"cooperating","amadhal"
"cooperation","amedhal, amedhel, imedhal"
"cooperator","anmarag, inmurag"
"coordination","tanmiregt, tinmirag"
"copious","bbijjew"
"copper","ighir, nhas, nnh'as"
"coptic","aqebt'i, iqebt'iyen"
"coptic language","tamas'rit, taqebt'it"
"copy","alsaru"
"coral","imerjan, tmezjan"
"cord","az'erki"
"core","aghurmi"
"corn","akwbal, angafuli, asengar"
"corner","tighwmert"
"corner house","tahnact, tasga"
"corporal","akabr'an"
"correction","aseghti, axelledh"
"corrective","aseghtey, iseghtay"
"corresponding","anmeghray"
"corrupt","ameggafsu"
"corruption","asgufsu, isgufsa"
"cortege","taseglit, tisegla"
"cotton","tabdught"
"country","tamurt, tmurt"
"country-basque","tamurt n yibaskiyen"
"country-of-gall","tamurt n yigaliyen"
"couple","abalag, ibulag, tayuga"
"courage","tabghest, tazult, tibghas, wove"
"courageous","abghas"
"course","tamsirt, timeghri"
"course lesson","timeghra, timeghri"
"court","tasenbert"
"court house","amrah, ihara"
"court of school","tasenbert, tisenbar"
"courtier","afdawa"
"couscous","seksu"
"cover","aghummu, ahendir, taduli"
"crack","acerrig"
"cracked","stegh"
"cradle","alulu, dduh"
"craftsman","anaszur, inedh"
"cranial","aqecrar"
"crash","asggax aghluy"
"cream","afrir, ifrar"
"creamy","anefrar"
"creation","asnulfu"
"credence","taserwast"
"credit","asmad, ttlaba"
"creditor","anesmad, aserwas"
"creek","amet'kal"
"creole language","takeryult"
"crest","acercur"
"crime","angha, have-yen"
"criminality","tinneghyin, tinnghi"
"crisis","tassast, tazghent, tizeghnin"
"criteria","asfern"
"critical","afernan, azaghan, azfan, azghan, uzghin, uzghinen, uzghinen, uzghinen"
"crock","agdur, asagwem"
"crop","afaras, ajradh"
"cross","amidag"
"crossbar","tamajjart"
"crossed","anmidag"
"crumb","abruy"
"crusader","anmidag, inmudag"
"crust","tanalt, tiferkit"
"crutch","taâekkazt, tiâekzin"
"cube","agasas, negh igusas"
"cubic","amgasas"
"cultural","adelsan"
"culture","idelsan, idles, tafellaht, takerza"
"culture studies","amesnidles, imesnidelsen"
"culturelogy","tasnidlest"
"cup","afendjal"
"cupboard","aferdu, tarrufin, tarruft"
"cupidity","ttmaa"
"curiosity","tawnafit, tiwnafyin"
"curious","awnaf"
"currency","aqarid"
"currently","imira, tura"
"curtain","asaber, isebran"
"custard","takrist"
"customer","anemghur, inemghar"
"cut","anegzum, taqbuct"
"cut of hair","asettel, isetïilen, taqunatt"
"cutter","agezzam"
"cycle","tasufeght"
"cylinder","awlellu, iwlella"
"cylindrical","awlellay"
"cyst","awles"
"daily","amsas"
"dairyman","amsefrir"
"dam","tafrawt, uggug"
"dance","tadrest, tidersin"
"dancer","amarkad'"
"danger","amihi, amizi, imihiten"
"dangerous","amihaw"
"darkness","tillas"
"dash","ajerrid'"
"data processing","tasenselkimt"
"date","abina, azemz, izemzen, izmaz, tini, ttmer"
"daughter-in-law","tislit"
"dawn","tafrara"
"day","asef, ass"
"day nursery","tasdhaft"
"dazzled","iules, klulu"
"dead","imegget, imut, tamattsant"
"dead end","akmim, amedgaz"
"dealing","asettay"
"dean","amghar, amghar, imgharen"
"death","amettan, tamettant"
"debate","askasi, asqardec, iskusa"
"debilitated","talkalt"
"debit","aktum"
"debt","amerwas, ttlaba"
"debtor","anektam"
"decade","tamerwa, timerwatin"
"decadence","tanhawt"
"decadent","amenhaw"
"december","dujember'"
"December","dujanbir"
"decimal","amerwan"
"decision","aghetsaw, taghtast, taghtest, tightas"
"decoder","anezmak"
"decor","adlag"
"decoration","abreqqes, adlag, ibreqqas"
"decorator","amedlag"
"decrease","asider"
"decree","aghtas, tanad't, tanatt"
"defaulting","anuref"
"defeat","tirz'i, tirz'iwin"
"defeated","amerni"
"defect","amalad"
"defense","ahuddu, astan"
"defensive","asetnaw, taghensa, tighensiwin"
"deficiency","tiggit"
"definition","tabadut"
"degree","tafesna, taseddart, tifesniwin"
"delay","agellel, amend'ar, amendhar, igellalen, tasewdhi"
"delay (1)","asgar"
"delegate","anesmigel, inesmugal"
"delegated","anesmigel"
"delegation","tamagla, timagliwin"
"delinquency","afuggu"
"delinquent","amfaggu, arneggay"
"delirium","ahetref"
"deluge","azillid', azillidh"
"demand","asuter, tanegmit, tasutert, tisutar, tuttsra"
"democracy","tugdut, tugdutin"
"democrat","amagdu, imugda"
"democratic","amagday"
"democratization","asgdud, asugdu"
"demographic","adimugr'afi, idimugr'afiyen"
"demography","tadimugr'afit"
"demon","ccittan"
"demonstration","asenaat, tamesbanit, tameskant, tamsenszayt"
"demonstrative","ameskan, amsenszay"
"demonstrator","ameskan"
"dense","anesszaw, anezz'aw"
"density","tanezzi, tinezziyin"
"dental","aghemsan"
"dental consonant","taghemsant, targalt taghemsant"
"dentist","amejjay n tughmas"
"dentistry","tujjya n tughmas"
"denture","agames, igumas"
"denunciation","tasummelt, tisummal"
"department","agezdir, agezdu, igezda"
"departmental","agezday"
"departure","akunser, tawada, tiwadiwin"
"dependence","tagelt, tugal"
"dependent","amagul"
"deposit","aselghes"
"depression","aberrazu"
"depth","tadrut, tighwbi"
"deputized","amazan"
"deputy","anmazul, inmuzal"
"derivation","tasuddemt"
"derivative","azellum, izelman"
"dermal","aneglam"
"dermatologist","amejjay n weglim"
"dermatology","tujjya n weglim"
"descending","amadar"
"description","aglam"
"descriptive","agelmaw"
"desert","aneszruf, anez'raf, taneszruft"
"design","askim"
"desinence","tahrayt"
"desire","aseddirem"
"desires","tinitin"
"dessert","tasegrayt"
"detaching","amakkas"
"detained","anekruf"
"detecting","isitt'ef, isitt'fen"
"deterioration","alakay"
"determination","aguccel, iguccal"
"development","aneflay, asuteb, taneflit, taneflit, tanneflit"
"device","acermadh, amris"
"devoted","amidhwel, imid'walen, imid'wel"
"diagonal","ubdis"
"diagram","azenzigh"
"dialect","tantala, tintalyin"
"dialectic","tamestala"
"dialogue","adiwenni"
"diameter","akdu, ikda"
"diametrical","anejgay, anekday"
"diaphragm","ileft"
"diarrhea","aberridh, bezzeeka"
"diary","tagebburt"
"dichotomy","tasnatit"
"dictated","tazabut"
"dictation","tazabut, tizuba"
"dictator","asnaraf, isnuraf"
"dictatorship","tasnareft, tisnuraf"
"diction","tamsiwla, timsiwliwin"
"dictionary","agrawal"
"difference","tameszla"
"different","imeszli, imez'li"
"differential","aneszlay"
"difficult","agermam, alughan, iwaar"
"difficulty","ilghi, ilghiten, tiggermemt, tinimert, tuuart"
"diffusion","tanezwit, tinezwa"
"digital","amad'ad"
"dignity","agemmir"
"dilemma","tasrakent, tisrukan"
"dimension","aseggiw"
"diminutive","aketman"
"diploma","agerdas"
"diplomacy","tasnassaght"
"diplomat","amesnassagh"
"diplomatic","asnassagh"
"direct","srid, usrid"
"direction","tamehla, tanila, tinilwin"
"direction (sense)","tanila"
"directly","srid"
"director","amsedhru, anemhal"
"directory","asages, isugas"
"dirt","ammus, rekku"
"disaster","tasekrart, tawaghit"
"disc jockey","amseddu, imsedda"
"discal","ad'ebsay"
"discharge","asenfu, timelsit"
"disciple","anedbal"
"disciplinary","anegran"
"discipline","agemmun, aghyud, aghyud, tugrint"
"disciplined","amaghyad"
"disco","tand'ebsit, tanedrast, tind'ebsiyin"
"discoid","azund'ebsi, izund'ebsiyen"
"discovered","tifin, tuzuft"
"discovery","tagrut, tigra"
"discreet","afrari, uffir"
"discrimination","asnuhyu"
"discussion","amyannan"
"disembarked","amaggaz"
"disgust","amuklu, amuuqu"
"dish","iceqduren"
"dish container","tabaqect, tibaqcin"
"disk","ad'ebsi, adhebsi, tad'ebsit"
"disk jockey","imd'ebsiyen"
"dismissal","adegger"
"displacement","arigez"
"display","tanezla"
"dispute","ameknes, tcaqlala"
"disruption","aserway"
"dissertation","tamestalt"
"dissolution","aselyem, iselyam"
"distance","ameccaq, asettum"
"distant","amestam"
"distraction","tamazlalt"
"distribution","asedger, bettu"
"district","agmam"
"district of dwelling","agmam"
"distrust","ahareb"
"divergence","ankas"
"divergent","unkis"
"diversify","andan"
"diversion","argham"
"diversity","abrar"
"divinity","illawen, illew"
"division","taszunt"
"divorce","uluf berru"
"doctrine","asekkud"
"document","tateggart"
"dog","aqjun, attarus, aydi"
"dogma","adasil, adasil amenbad"
"dogmatic","adaslan"
"dogmatic person","adaslaz'ri"
"dogmatism","adaslaszri, tadaslaz'rit"
"doll","asunar, azayuy, taaldjets, taknart"
"dolphin","azyami"
"domain","taghult, tighula"
"domestic","agawsan, akati"
"domicile","azeddugh, tanezdught"
"dominant","aneghmar, aneghmar"
"domination","aghmar"
"donkey","aghul, ighwyal"
"door","tabburt, taggurt, tawwurt"
"doorstep","amnar, tamdert"
"dorsal","aruran"
"double","aslag, uslig"
"doubt","asurdu, ccek"
"dough","arekti"
"draft","abgez, tad'rut, tid'ra"
"drama","abaxix, tamuggit, tawaghit, timugga"
"dramatic","amuggi"
"drawer","akafu, akan, imsunegh, imsunghen"
"drawing","ilan, taseqqart, tasghart, tinnight, unugh"
"dream","targit, tawargit"
"dresser","tasdarart"
"dribbling","aghussu"
"dribling","aghussu, ighussa"
"drier to hair","amaskaw ucebbub"
"drift","asuddim"
"drill","tagant, taseflut, tisefla, tiszgi"
"drink","taarurt hunchba, timeswit, timeswit, tissi, tissi, tissit, tissiwin"
"driver","amesnay, anehhar"
"drop","timeqqit, tiqit"
"dropping","tabururt, tibururin"
"drum","agwal, ttbel"
"drunk","tayyut"
"dry","aquran, ikkaw, iwzegh"
"dryer","uzlan"
"duck","akenjamum"
"duckling","tamsewt, timeswin"
"dungaree","taseddufert, tiseddufar"
"dutch","ahulandi, ihulandiyen"
"dutch language","tahulandit"
"dwelling","tanezdught, tazdught"
"dynamic","tilhi"
"dyslexia","tarewrawt"
"eagle","igider"
"ear","amesszugh, tamesszught"
"earphones","imsefliden"
"earth","akal"
"easy","ishel, ushil"
"eater","amettci, imettcan"
"echelon","tafesna"
"echo","anza, taghlaghalt"
"eclipse","afsax"
"ecology","tanessawnest"
"econometric","ikunumitri, ikunumitriyen"
"econometrician","amazzag di tikunumitrit"
"econometrics","tikunumitrit"
"economic","ademsan, udmis"
"economist","adamsan, ademmas"
"economy","tadamsa, tamesdamsa, tidamsiwin"
"ecuador","asebges"
"edification","tameskiwt, timeäka, times'ki"
"edition","taszrigt tiszrigin, taz'rigt"
"editor","agejdan"
"editorial","agejdi, igejda, tagejdit"
"education","annan, asegmi, asinen"
"educational","usegmisen"
"educator","amessinen, amessinin, asegman, imessunan"
"effect","asemdu, isemda"
"efficiency","tamellilt, tamellit, timellal"
"efficient","amellil, asemday"
"effort","tamessumant, ussis"
"egg","tamellalt, tasdalt"
"eggplant","tabateldjant"
"egoism","timirixeft, tineäfa, tines'fi, tussfa"
"egypt","mas'er"
"egyptian","amas'ri, imas'riyen"
"eight","tam, tamet, tams"
"elastic","alwawad', alwawadh, alwawadh, lwiwedh"
"elbow","tawet'zid't, tighemmar, tighmert, tiwetz'id'in"
"eldest","amenzu"
"elected","ufrin"
"election","tafrant, tafrent"
"electoral","afernaw"
"electric bulb","taftilt"
"electric plug","tuddimt"
"electricity","taszarurt, taz'arurt, trisiti"
"electronic","aliktr'unan, taliktr'unit"
"elegance","tasrifa, tisrifyin"
"elegant","asenbar, asrif, asrifa, isrifayen"
"elegiac","azneffa, azneffay"
"elegy","azneffu, izneffa"
"element","aferdis, atwal, tassuyt"
"elementary","aferdas, amessuy"
"elephant","ilu, iluten"
"elevation","anaqel, anaqel"
"elevator","amessawen, asedmar"
"eliminating","anaffas"
"elimination","affas, asfal"
"elite","tadghert, tideghrin, tufut"
"ellipsis","taglayt"
"eloquent","asraqqa"
"e-mail","izen aliktrunan"
"emanation","asadaw"
"emancipation","asderfi, tasderfit"
"embankment","agnenna"
"embassy","tamahelt, timuhal"
"ember","tirgets"
"embroidery","adeg, idagen"
"emergence","agwmadh"
"emigrant","iminig"
"emigration","innig"
"emitter","amesgal"
"emotion","tadhist"
"emotional","amurnan"
"emperor","amenkad"
"empire","amenkud"
"empire inca","amenkud inkasi"
"empiric","asarmi"
"employee","amaris, imuras"
"employer","asemras"
"emptiness","amecluc, ayyar, clec, ilem"
"emulation","amszaszal"
"enclave","abandu, ibunda"
"enclosed","ufrig"
"enclosure","afrag, ifergan, zzerb"
"encouragement","asebghes, isebghas"
"encyclopedia","tasanayt"
"end","taggara"
"end name","taggara"
"endemic","amughel"
"enemy","aadaw, aâdaw, acengu, azengu, icenga"
"energetic","urmid"
"energy","azuren"
"engagement","akfawel"
"engineer","ajenyur"
"english channel","afus"
"enigma","timsaaraqt, tunszart, tunz'irt"
"enigmatic","amenzar"
"enough","dayen, ddeqs"
"enrollment","tiggaz, tiggezt, tikkezt"
"entanglement","annerbaz"
"entered","aneckum"
"enterprise","takebbanit, tar'mist"
"entomologist","amassan n yibeââac"
"entomology","tussna n yibeââac"
"entrepreneur","ar'emmas"
"envelope","alessi, tajellabt, tattsalt"
"environment","tawennatt"
"environnement","tawennad't"
"epaulette","tamayet, timuyat"
"episcope","aserszar"
"episode","ah'ric"
"equal","ugdu"
"equality","amtawi, tagadda, tulut, tulutin"
"equating","asegdu"
"equation","tamesmatt"
"equator","asebges, isebgas"
"equatorial","asebgas"
"equipment","asgalef, isgulaf"
"equivalence","tagdazelt"
"equivalent","agdazal"
"era","takutt, tallit, talliyin"
"erasable","amsur"
"eraser","tasemsut, tisemsa"
"eroticism","anatas"
"escape","tarewla"
"escaped","amerwal"
"escort","tangift, tanguft"
"especially","abaada, lumen"
"esperantist","tizzenzagh, tizzenzeght"
"establishment","aghsu, aghsur"
"esteem","adakad"
"estimable","aridan"
"etc.","ar tigra, atg"
"eternal","amaghlal"
"eternity","aghlul, ighulal"
"ethical","tihdi"
"europe","tur'uft"
"european","ur'ufi, ur'ufiyen"
"evening","tameddit"
"ever","djin, urdjin, usar"
"everywhere","akkwmani, akmani"
"evidence","tamunt"
"evocation","abdar"
"evolution","tamhazt"
"evolutionary","amehzan"
"evolved","anemhaz"
"exact","nnit, ufrin"
"exaggeration","tamayumt"
"exam","akayad, akayad"
"examiner","amakyad"
"example","amedya"
"excavation","agawes"
"except","haca, hala, slid"
"exception","tasureft, tisuraf"
"excerpt","amkus, tassuft"
"excess","acayad', acayadh, acayadh, amcayad', azerray, ugar, ugar"
"exchange","asmeske"
"excitation","asduy"
"excursion","amerrah, amurri"
"excuse","asnuruf"
"execution","aselkem"
"exemption","tafenszayt"
"exercise","alaghmu, ilughma"
"exhaust pipe","tasenfart n ussuffegh"
"exhaustive","anguz"
"exhibition","tafsirt, timzikkent, timzikknin"
"exile","azwayeg, inig, neffu"
"existence","tilawt, tilin"
"existential","amilaw"
"expedition of war","tanemzagt"
"expenses","arexsas, asemmadh"
"experience","tarmit"
"experimental","armawi"
"expert","amuzay"
"expertise","tawzut, tiwzutin"
"exploding","afexsay, aseflalay"
"exploit","tanfust"
"exploitable","amumid"
"exploitation","ammud"
"exploited","anamud, inumad"
"exploiter","anammad, anammud"
"exploration","asnirem"
"explorer","anaram"
"export","asifedh"
"exposed","aneskin"
"exposition","aneskin"
"expression","tanfalit, tinfalyin"
"extension","taseggiwit"
"exterminator","imesnegren, imsenger"
"external","amniri"
"extinction","alubbed, asexsi"
"extinguisher","isexsi"
"extraction","tussfa, tussfiwin"
"extractor","amassaf, isissef, isissfen"
"extrapolation","asmedhren"
"extreme","asbbagh"
"extremity","tabbaght ixef"
"eye","titt"
"eyebrow","tammiwin, timit, timmi"
"fable","taneqqist, tanfust, tineqqas"
"fabrication","asfukti"
"face","aqadum, tawila, udem"
"facial","udmawi, udmawiyen"
"facilitator","alsmadh, amsishel"
"fact active","asswagh"
"faction","ameh'd'i, imehdi, taghasalt, tighusal"
"factor","ameskar, amezzarew, imsiwd'en, imsiwed'"
"factorial","umezzarwi"
"factory","anaken, inukan"
"faculty","aghiwen, ighiwan, tinnezgit"
"faggot","alutim, tazdemt"
"failure","abrir"
"fair","almuggar"
"faith","taflest"
"faithful","amekdi, imekda"
"falcon","ibaz"
"fall","afulman, aghelluy"
"fall unexpectedly on","ssehwu ghef"
"false","imkerku"
"familiar","agurad, unnin"
"family","agawes, iguwas, takat, takatin, tawacult"
"family record book","tadlist n twacult, tidlisin n twacult"
"famous","amulan"
"fantasy","taghzut"
"farewell","asifed, isufad"
"farm","mummi"
"farming","amagam"
"fast","arurad"
"fatalism","tisszegszent, tizz'egz'ent"
"fatalistic","amesszigzen, amz'igz'en, imzugzan"
"fatigue","aaggu, awhal, taremmuyt"
"faucet","tibernint"
"fauve","awras"
"favor","tanureft"
"favorable","anaraf"
"fawn","aweqqas"
"fax machine","tilizen"
"fear","tigwdi, tugda"
"feared","tigwdi"
"feast","adraw, tameghra, timeghriwin"
"feature","ajerrid, akezzazay, asenzegh"
"febrile","awlawi"
"february","fur'ar', furar"
"feeling","afra, ifrayen, tufrayt"
"felt pencil","aghanem amzaw"
"female","awetman, tawtemt, tiwetmin"
"female jackal","tuccent"
"feminine","unti"
"femoral","aghenman"
"fence","afrag, zzerb"
"fertilization","talekmast"
"festival","tafaska, tifaskiwin"
"festival-goer","afaskan"
"festive","ameghran, ameghran"
"festivity","aseksel, iseksal"
"fiction","aneghlan"
"fictional","asugnan"
"fidelity","takdit, takdiwin"
"field","iger, urti"
"fifteen","aszdhun, az'dun"
"fig","tabexsist"
"fight","amcetccew, imenghi, imenghiyen, imerszi, tcaqlala"
"fighting","amnegh, imenghan"
"figs dry","ihbuben, inighman, tazzart"
"fig-tree","azar, tagrurt, taneqwlets"
"file","afaylu, akaram, imebred"
"file of a chair","asehtal"
"filipino","afilippini, ifilippiniyen"
"filter","tastayt"
"filtering","astay"
"finality","aguttu"
"financier","anaz'raf"
"fine","izmag, tafgurt"
"finger","adhad"
"finnish","afinlandi, ifinlandiyen"
"finnish language","tafinlandit"
"finno-ugrian","tafinugrit"
"finno-ugrian languages","tutlayin tifinugriyin"
"fireman","asexsay"
"firm","amammay"
"firmness","amummi"
"first","amezwaru"
"first name","azarisem, izarismawen"
"first of","di tazwara, s tizar"
"fiscal","awsayan"
"fish","abbuniz, aslem, iselman, islem"
"fish eater","amettci n yiselman"
"fish store","taneslemt, tineslam"
"fishhook","tasennart, tukwett"
"fishing","tagemra, tigemriwin"
"fishmonger","aneslam"
"fist","tukkint"
"five","semmus, semmuset"
"fix","yersa"
"fixed","anews'al"
"fixing","asmezgi"
"flame","ajajih, tameszla"
"flavorless","absil, amersal, amessas"
"fledgling","agd'ic, igdac"
"fleet","tanawt"
"flesh","aksum"
"flexible","alwigh, ilwigh"
"flicker","acrureq"
"flight","tarewla"
"floor","annag"
"florist","amjeddjig"
"flour","agil"
"flower","tajeddjigt"
"fluctuation","aleggwen"
"fluid","amengi"
"fluidity","angi"
"flute","tajewwaqt"
"fluvial","asifan"
"flux","asuddem"
"fly","izan, izi, tajerr'ar't"
"flyer","amsafeg, imsufag"
"flying","amafag"
"focal","adikan"
"focusing","asdikan"
"fog","agu"
"fold","ad'fas, adhfas"
"foliage","ala"
"folic acid","afri"
"follower","amed'far"
"following day","azekka"
"follow-the-leader attitude","tamsed'fart"
"follow-up","ad'far"
"food","aalaf, iguma, tagella, tigelliwin, utctci"
"foot","adhar"
"footbridge","tanezgart, tasegdhemt"
"forbidden","amegdul, ayr, ayraten"
"forearm","amasur"
"forebear","imraw"
"forecasting","tagezzant"
"forehead","admer, anyir, idmaren, tirni, tirniyin"
"foreign","aberrani, amagar, amugaz"
"foreign press","taghamsa tamagart"
"forgiveness","asaruf, isuraf"
"fork","tazercet, tizrectin"
"formal","alghawi"
"formation","asilegh"
"formative","amsalghu"
"former egyptian","tamas'rit"
"formula","tasemselt"
"fortune","ayedda, cci"
"forwardness","tamenzuyt"
"foundation","tarselt"
"fountain","bruised"
"four","kuszes, kuzet, ukuz"
"fraction","taszunt, taz'unt"
"fragment","ticlext"
"fragmentation","acellex"
"framed","uktir"
"framework","sser"
"framing","aseggafsu, asegrer, iseggufsa"
"franc","afenszay"
"franco-provencal","afr'ankuprovençali"
"fraternity","tagmats"
"free","battel s ubennen, ilelli"
"freed","aderfi, iderfan"
"french","afr'ansawi, afr'ensis, ar'umi, ifr'ansawiyen, ifr'ensisen, tafr'ensist, tar'umit"
"french language","tafr'ensist, tar'umit"
"french-speaking","afr'ensiswal, ifr'ensiswalen"
"frequency","asnigar"
"friday","idjemaa, sem"
"fried","idernan, tslur"
"friend","ameddakwel, amidi, asmun, emeri, imeran"
"friendship","lahmala, tiddukla"
"fright","tigwdi"
"frog","ajru, aliga, imqwerqar"
"from the maghreb","amazghan"
"frontal","amenyar"
"froth","aluffi, arghut"
"fruit","agumm, agummu, igumma"
"fruits eater","amettci n yigumma"
"frustrated","anefd'um, inefdam"
"frustration","afd'am, afdham, asbennen"
"full","itctcur"
"function","tasghent, tawuri, tiwura"
"fundamental","abud'an, amedru"
"funeral","tamdhelt"
"funeral ceremony","abehlus, tamd'elt, timed'lin"
"funnel","tinifift"
"funny","amzal"
"furnace","tafedna"
"furniture","taraka"
"furrow","adherf"
"fusion","asegdhem"
"future","azekka, imal"
"gaelic","tagulit"
"gaelic language","tagaelit"
"galaxy","amazellaw"
"galic","aguli, iguliyen"
"gambler","amarir"
"game","urar"
"gang","akurmis"
"gap","ankaz"
"garage","tighsirt"
"garden","alma, almaten, taghult, taznit, tibhirt"
"garlic","ticcert, tiskert"
"gas","algaz, tamsuft, tumast"
"gas nature","tumast"
"gastro-enterology","tujjya n tâebbud't"
"gastro-entomologists","amejjay n tâebbud't"
"gate","tasiweght, tisseghlit"
"gathering","asegrew, sdukkel"
"gaul country","tagult"
"gazelle","azenkud, taghzalt"
"general","amatu, imuta"
"general practioner","amesmatu, imesmuta"
"generality","amata"
"generalization","asmatu, ismuta"
"generally","umata"
"generation","asatu, tasuta, tasuti, tisutwin, tisutyin"
"generator","asutay"
"generous","anakkaf"
"genetic","amehhaz, tacettu"
"genius","asemdan, tasmedna, timedniwin"
"gentleman","mass, massaw"
"geography","tarakalt"
"geometer","amenzag"
"geometric","anzeggan"
"geometry","tanzeggit"
"german","almani, almaniyen"
"german language","talmanit"
"germanic","ajir'mani, ijir'maniyen"
"germanic languages","tutlayin tijir'maniyin"
"germany","lalman"
"gesture","asillef"
"ghost","amaghul, imughal"
"gift","asefk, isefkan, tarzeft"
"gifted","afakkas, asemdan, uhric"
"give the opportunity of","aslummez, islummez, islummuz, slummez, ur islummez"
"given","agwettil"
"given rhythm","awlellagh"
"gizzard","azerg"
"gladly","wellen"
"glass","asemmeghmagh, tagra, tagriwin"
"global","ablulagh, amad'lan"
"globe","tabluleght"
"glory","tamanegt, timingin, timunag"
"glove","alemdad"
"glue","amedghar"
"gluing","asent'ad'"
"gnarl","timisit"
"goal","iswan, iswi"
"goat","abuukir, amaghad, amyan, aqelwac, taghatt"
"gobbler","tabibbit"
"god","ayakuc, yuc"
"gold work","tanewreght, tinewragh"
"goldsmith","anewragh"
"gone","akabar, taferfant, talettught, tama"
"good","amalagh, amellay, dhelfen, ihu, ilha, yulegh"
"goodness","tamella, timelliwin"
"gothic","aguti"
"gothic language","tagutit"
"gourd","tablawt, taxsayt"
"government","anabadh"
"gradient","ardas"
"graduate","agurdis"
"grain","aaeqqa, abruy"
"gram","agr'am"
"grammar","tajerrumt"
"grandfather","jeddi"
"grandmother","jida, settsi, tabettsi"
"grant","lwaada, tamecfit, tukci"
"grape","adhil, tiszurin"
"grapefruit","icemmim"
"graphic","tudlift"
"grass","tigwin, tuga"
"grasshopper","abszisz"
"grater","taskerfajt"
"gravitation","aslemlem"
"grease","tadunt, tassemt"
"greatly","attases, hawli, xilla"
"green algae","adal azegzaw"
"green pea","tirifin"
"greeting","azul"
"grenada","grenadier, taremmant"
"grid","taratsa"
"grimace","tafennect"
"gritty","ajdawi"
"grocer","abeqqal"
"grocery store","tabeqqalt, tahanuts, tanebqult"
"groove","amcug"
"groping","aferfed"
"grotesque","inefghel, infeghlen"
"ground floor","azdir"
"group","aggay, tarbaat"
"growing","aggur, ayur, tazzirt, tizzirin"
"growth","asgam, temghwer, titit"
"guard","amd'if, amdhif, tid'af, tidhat, tidhat"
"guest","amedraw, amencud, inebgui"
"guide","amnir"
"guitar","adinan, snitra"
"gulf","adghiwegh"
"gunner","amerday"
"gushed","timeszdit"
"gustatory","amaram"
"gut","adan, idanen"
"gymnastic","ahareg"
"gynecologist","amejjay n tilawin"
"gynecology","tujjya n tilawin"
"gypsy","azigan"
"gypsy language","tazigant"
"habit","tamyart, tannumi"
"hail","abruri"
"hair","acekkuc, acentuf, ackuk, anszadh, inszadhen"
"hairdresser","anersam"
"hairdressing","tarsimt"
"hairs","acebbub, acekkuh, acetctcuy"
"half","azgen, izegnan"
"hallucination","azghugh"
"hammer","amayeg, tafdhist"
"hand","afus"
"handball","ddabex ufus"
"handful","taguli"
"handicapped","aaiban, amakdaw"
"handicraft","ind'en, ined', taszuri, tind'i, tindhi, tinedyin"
"handkerchief","afatas"
"hands","afus, ifasen"
"hanger","ameâlaq"
"happiness","tumert"
